,iteration,strategy,num_deliveries,completed_deliveries,total_time,computation_time
0,1,greedy,20,20,0.9666650573965548,0.3569519519805908
1,1,greedy,40,40,1.625422997464575,1.484955072402954
2,1,greedy,60,60,1.958521843448673,3.338392972946167
3,1,tsp,20,20,0.9818868252820246,0.3249847888946533
4,1,tsp,40,40,1.5877061522448705,1.3354339599609375
5,1,tsp,60,60,2.1074371193058776,3.126038074493408
6,2,greedy,20,20,0.9158378600101046,0.35670995712280273
7,2,greedy,40,40,1.5652282314259098,1.4621968269348145
8,2,greedy,60,60,1.9016281667066823,3.1159276962280273
9,2,tsp,20,20,0.8439799349767619,0.33493876457214355
10,2,tsp,40,40,1.6522324202706062,1.3480651378631592
11,2,tsp,60,60,1.7201178748144046,2.908003091812134
12,3,greedy,20,20,1.032976068125972,0.36028289794921875
13,3,greedy,40,40,1.3803361369777982,1.3742668628692627
14,3,greedy,60,60,1.8358342875885412,3.921722888946533
15,3,tsp,20,20,1.1228667915348085,0.3512601852416992
16,3,tsp,40,40,1.3756135602141135,1.3007140159606934
17,3,tsp,60,60,1.679922518927916,3.0285627841949463
18,4,greedy,20,20,0.8653427780377229,0.36511993408203125
19,4,greedy,40,40,1.663636702221729,1.5740599632263184
20,4,greedy,60,60,2.1198933805786555,4.0203680992126465
21,4,tsp,20,20,0.8549179401367071,0.34185004234313965
22,4,tsp,40,40,1.5273017882889464,1.5408821105957031
23,4,tsp,60,60,1.9290808929034313,3.5403499603271484
24,5,greedy,20,20,0.6084373334489818,0.3966789245605469
25,5,greedy,40,40,1.59712447307666,1.597121000289917
26,5,greedy,60,60,1.8942897054462444,3.131209135055542
27,5,tsp,20,20,0.6149466360630724,0.323746919631958
28,5,tsp,40,40,1.5014263774991339,1.370487928390503
29,5,tsp,60,60,1.7884710501898913,3.1793880462646484
30,6,greedy,20,20,0.8656315973816905,0.3627650737762451
31,6,greedy,40,40,1.3797454973372336,1.37223482131958
32,6,greedy,60,60,1.7479955656025177,3.3892569541931152
33,6,tsp,20,20,0.8257085843914637,0.3548116683959961
34,6,tsp,40,40,1.2736633331519662,1.41774320602417
35,6,tsp,60,60,1.6973194240981293,3.1172068119049072
36,7,greedy,20,20,1.1144613918692823,0.39591002464294434
37,7,greedy,40,40,1.2527782578426614,1.485610008239746
38,7,greedy,60,60,2.013535529003742,3.2971367835998535
39,7,tsp,20,20,1.0853187074176855,0.3175010681152344
40,7,tsp,40,40,1.4780808410723851,1.5110180377960205
41,7,tsp,60,60,1.7813605806586237,3.1314380168914795
42,8,greedy,20,20,0.8884390575867676,0.37373900413513184
43,8,greedy,40,40,1.5085589777571138,1.483187198638916
44,8,greedy,60,60,1.6805520610658418,3.223883628845215
45,8,tsp,20,20,0.8441888196501925,0.3343517780303955
46,8,tsp,40,40,1.3711431688977258,1.4019169807434082
47,8,tsp,60,60,1.7397386366219896,3.0661349296569824
48,9,greedy,20,20,0.849997638467229,0.38321590423583984
49,9,greedy,40,40,1.4106762162857394,1.4274396896362305
